uid,note,controller_id,build_tunnel,mac_address,ip_tunnel,ip_support,pcb_version,pcb_dipswitch_value,jacks_state,sensors_fault,phases_detected,frequency_detected,firmware_version,ip_public,ip_dhcp,datetime_reboot,datetime_online,datetime_tunnel,datetime_vglms_start,datetime_button_user,datetime_button_user_long,datetime_reset,datetime_reset_long,datetime_created,tunnel_ping_time,oem,calibration_version
9BO7643KWM,Alex P Development 20240418,28,1,0cb2b7cf7dc1,10.241.64.66,172.17.2.165,5,2,7,0,,,11226,45.44.69.108,192.168.0.212,2025-01-02 15:45:19,,,2025-01-02 15:53:15,2024-12-07 02:33:52,2024-12-21 01:57:17,2024-12-19 00:28:36,,2024-04-18 15:00:46,80,,1
9BX3ENLMUE,85 Bedford Replacement 20231118,23,1,04a316d26ee1,10.241.64.74,172.17.2.197,5,0,3,0,,,11226,70.53.77.164,192.168.2.197,2024-12-13 20:36:09,,,2024-12-31 18:26:56,,,,,2023-11-18 23:10:09,11,,1
9EGZXMSLMY,Reliable 20240820 PRO,8,1,1862e4cbe4c4,10.241.64.62,172.17.2.168,5,0,7,0,,,11226,206.116.200.135,192.168.1.2,2024-11-23 01:25:03,,,2024-12-31 17:55:31,,,2024-08-22 13:59:36,,2024-04-18 14:33:05,67,,1
9L2QT43KWM,JKing - Experimentation.,,1,,10.241.64.30,,,0,,,,,0,,,,,,,,,,,2024-09-12 02:00:40,,,1
9MIT5LSLMY,Reliable 20240820 PRO 2x Calib,,1,1862e4becd0c,10.241.65.202,172.17.2.112,5,0,0,0,,,11198,184.71.162.178,192.168.1.11,2024-11-26 23:56:52,,,2024-11-27 00:18:31,,,,,2024-08-22 15:34:50,71,,1
9OE3T43KWM,Great Oak Cohousing North 20240201,13,1,0cb2b7c9ec8e,10.241.64.170,172.17.2.114,5,0,3,0,,,11226,70.90.143.154,10.7.38.212,2024-09-26 02:03:54,,,2024-12-31 18:21:30,,,,,2024-02-01 19:09:36,52,,1
9RRKBV3GPE,1.00 -- RC9,,1,,10.241.64.10,,,0,,,,,0,,,,,,,,,,,2024-09-12 02:01:46,,,1
9V75T43KWM,Reliable 20240912 PRO,,1,0cb2b7c9f7f5,10.241.64.202,172.17.2.217,5,0,0,0,,,11198,184.71.162.178,192.168.1.243,2024-11-25 22:47:03,,,2024-11-25 23:05:20,2024-08-01 21:39:08,2024-09-14 15:29:36,2024-09-14 15:29:32,2024-05-27 18:06:09,2024-01-04 22:03:47,71,,1
9Y45T43KWM,1.00 -- RC6,,0,0cb2b7c9f798,10.241.64.122,172.17.2.124,3,0,0,0,,,11184,206.231.127.122,192.168.1.161,2023-06-18 14:55:45,,,2024-09-21 16:36:05,2024-07-09 15:17:44,2024-07-09 15:16:27,2024-03-29 15:11:13,2024-03-29 15:12:45,2024-01-20 04:01:02,0,,1
A3J3Z5B6YE,Vancouver 20241022,,0,98f07b9da760,,172.17.2.196,5,2,0,,,,11198,184.71.162.178,192.168.1.10,2024-11-26 23:52:08,,,2024-11-26 22:48:15,,,,,2024-10-22 19:38:19,70,,1
A3KTX5SRED,Toronto Stock 20241203,,0,648cbb79ab60,,172.17.2.196,5,2,0,,,,11214,209.20.60.12,192.168.111.123,2024-12-03 20:04:22,,,2024-12-03 20:20:15,,,,,2024-12-03 20:02:16,10,,1
A43BPSTQUB,Vancouver 20241022,,0,3484e4f0ef80,,172.17.2.100,5,2,0,,,,11198,184.71.162.178,192.168.1.47,2024-11-27 16:53:16,,,2024-11-27 17:07:21,2024-10-22 17:58:39,2024-10-22 17:57:47,,,2024-10-22 17:43:50,0,,1
A6IUMGX2QF,VG Inventory Toronto - 20240321 Calib,,1,b0d5ccca23c0,10.241.64.98,172.17.2.164,5,0,0,0,,,11140,,192.168.111.222,2024-06-27 16:07:19,,,2024-06-27 16:24:00,2024-06-28 17:53:58,2024-06-28 16:59:21,2024-04-23 16:14:20,,2023-11-18 23:10:09,,,1
ALIYQNB5AD,Old test 20240912,,1,,,,,0,,,,,0,,,,,,,,,,,2024-09-12 02:03:19,,,1
AQI3Z5B6YE,Vancouver 20241022,,0,98f07b9da200,,172.17.2.100,5,2,0,,,,11198,184.71.162.178,192.168.1.102,2024-11-26 23:51:51,,,2024-11-26 22:48:35,2024-10-22 17:57:23,,,,2024-10-22 17:42:16,0,,1
AR5M7NB5AD,Reliable 20240820,,0,60e85bf67620,,172.17.2.132,5,2,0,0,,,11198,184.71.162.178,192.168.1.51,2024-11-25 17:13:11,,,2024-11-25 17:32:25,,,2024-08-22 14:53:34,,2024-08-20 15:30:59,0,,1
ARYTISB44B,Reliable 20240820,,0,3ce06489e220,,172.17.2.132,5,2,0,0,,,11170,,192.168.1.122,2024-09-04 15:33:14,,,2024-08-20 19:24:15,,,,,2024-08-20 19:14:19,,,1
ASRCPSTQUB,Reliable 20240912 PRO,,1,3484e4f14640,10.241.65.66,172.17.2.164,5,0,0,0,,,11198,184.71.162.178,192.168.1.162,2024-11-26 21:11:51,,,2024-06-12 23:44:50,,,2024-09-14 15:29:25,,2024-06-07 15:19:12,72,,1
ATMORNB5AD,Treehouse VarianPRO - 01 20231130,26,1,60e85b173260,10.241.64.50,172.17.2.196,5,0,0,0,,,11226,134.41.202.172,172.20.101.11,2024-12-20 08:17:28,,,2024-12-31 17:50:41,,,,,2023-11-30 21:22:32,21,,1
AVTTISB44B,Reliable 20240820 PRO 2x Calib,,1,3ce06489cea0,10.241.65.162,172.17.2.132,5,0,0,0,,,11198,184.71.162.178,192.168.1.252,2024-11-26 23:56:56,,,2024-11-27 00:18:30,,,2024-08-22 14:32:54,,2024-08-20 20:58:39,72,,1
B5P5GSB44B,Reliable 20240912,,0,3ce0646ebfa1,,172.17.2.133,5,2,0,0,,,11198,184.71.162.178,192.168.1.107,2024-05-27 13:01:54,,,2024-11-26 23:47:21,2024-09-12 15:52:44,2024-09-12 15:55:41,2024-09-12 15:22:10,,2024-04-04 14:37:30,0,,1
B5V5GSB44B,Reliable 20240820,,0,3ce0646ed7a1,,172.17.2.133,5,2,0,0,,,11198,184.71.162.178,192.168.1.53,2024-11-25 17:13:01,,,2024-11-25 17:34:15,,,2024-08-22 14:53:31,,2024-04-18 15:01:27,0,,1
BCUT6Y77AH,Westburne 20240404 - Problem?,,0,e0fff1e9d041,,172.17.2.165,5,2,3,0,,,11112,,10.0.0.38,2024-05-06 22:14:10,,,2024-05-06 22:21:56,2023-06-18 15:12:26,2024-05-06 21:44:36,2023-06-18 15:01:20,2023-06-18 14:58:44,2024-04-04 17:00:31,,,1
BJYWISB44B,Westburne Vancouver 20240404,51,1,3ce0648b6121,10.241.65.34,172.17.2.133,5,2,3,0,,,11224,75.157.58.26,192.168.1.65,2024-12-28 16:17:10,,,2024-12-28 16:24:54,2024-05-02 06:38:15,2024-05-02 06:38:20,2024-10-15 16:33:05,2024-10-15 16:33:27,2024-04-04 16:39:14,74,,1
